City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,goroka,-6.0834,145.3873,16.48,98,100,0.75,PG,1697565272
265,malpica,43.3228,-8.8105,21.32,77,100,9.36,ES,1697565273
266,vadso,70.0744,29.7487,0.49,80,0,5.66,NO,1697565226
267,yuanping,38.7153,112.7575,12.49,74,100,2.88,CN,1697565273
268,mawu,29.5923,107.3139,18.98,75,64,1.9,CN,1697565273
269,peace river,56.2501,-117.286,10.17,93,100,1.54,CA,1697565215
270,atbasar,51.8,68.3333,11.38,68,40,3.53,KZ,1697565274
271,portland,45.5234,-122.6762,16.39,91,75,1.54,US,1697564913
272,rio de janeiro,-22.9028,-43.2075,35.12,67,0,5.66,BR,1697565156
273,mantua,45.1667,10.7833,14.58,73,100,2.53,IT,1697565274
274,shakhtinsk,49.71,72.5872,10.58,75,0,3.55,KZ,1697565274
275,viedma,-40.8135,-62.9967,22.95,19,0,5.22,AR,1697565275
276,kayenta,36.7278,-110.2546,22.72,16,0,1.36,US,1697565275
277,kaedi,16.1465,-13.5047,37.96,14,6,3.39,MR,1697565275
278,shubarshi,48.5872,57.1869,12.22,40,97,4.07,KZ,1697565275
279,nuku'alofa,-21.1333,-175.2,22.19,78,40,7.2,TO,1697565276
280,fada,9.5667,8.3,23.86,80,92,0.33,NG,1697565276
281,gotsucho,35.0,132.2167,15.51,83,0,1.81,JP,1697565276
282,xiva,41.3783,60.3639,11.99,33,100,4.34,UZ,1697565276
283,hue,16.4667,107.6,25.06,100,75,2.06,VN,1697565276
284,murzuq,25.9155,13.9184,25.28,16,6,1.83,LY,1697565277
285,pudozh,61.8099,36.5345,4.41,72,99,5.81,RU,1697565277
286,pariaman,-0.619,100.12,24.03,90,82,1.08,ID,1697565277
287,mozhga,56.4447,52.2276,4.43,67,97,9.39,RU,1697565277
288,tarfaya,27.9358,-12.9218,23.99,66,0,4.08,MA,1697565277
289,nanao,37.05,136.9667,11.82,77,11,0.46,JP,1697565278
290,happy valley-goose bay,53.3168,-60.3315,5.17,65,75,3.09,CA,1697565278
291,namibe,-15.1961,12.1522,18.57,79,63,3.51,AO,1697565278
292,ha'il,27.5219,41.6907,27.01,28,0,6.17,SA,1697565278
293,fortuna,40.5982,-124.1573,16.63,98,100,0.0,US,1697565278
294,beira,-19.8436,34.8389,25.05,88,75,1.54,MZ,1697565279
295,corn island,12.1694,-83.0418,28.35,75,100,8.33,NI,1697565279
296,ancud,-41.8697,-73.8203,13.97,65,16,2.28,CL,1697565279
297,vila franca do campo,37.7167,-25.4333,23.27,99,80,5.26,PT,1697565279
298,lihue,21.9789,-159.3672,22.58,80,0,3.6,US,1697565144
299,sisimiut,66.9395,-53.6735,-5.9,82,46,2.27,GL,1697565280
300,luanda,-8.8368,13.2343,26.0,78,20,5.14,AO,1697565280
301,kuanda,56.3161,116.0806,-2.73,88,99,1.24,RU,1697565280
302,xuddur,4.1213,43.8894,28.06,54,100,3.71,SO,1697565280
303,morondava,-20.2833,44.2833,25.89,72,96,4.1,MG,1697565280
304,tangalle,6.024,80.7911,25.22,86,100,1.83,LK,1697565244
305,kavieng,-2.5744,150.7967,27.6,75,99,1.56,PG,1697565281
306,coahuayana de hidalgo,18.7,-103.6583,28.32,74,100,1.02,MX,1697565281
307,kenai,60.5544,-151.2583,3.97,98,0,0.0,US,1697565281
308,santa rosalia,27.3167,-112.2833,32.01,31,3,3.18,MX,1697565282
309,naze,28.3667,129.4833,16.51,67,0,2.8,JP,1697565282
310,sheridan,44.8333,-106.9173,23.51,55,0,1.54,US,1697565282
311,nova vicosa,-17.8919,-39.3719,27.57,62,44,6.05,BR,1697565282
312,dombarovskiy,50.7587,59.5386,10.56,46,7,5.36,RU,1697565283
313,callao,-12.0667,-77.15,21.16,73,75,5.14,PE,1697565283
314,acarau,-2.8856,-40.12,29.97,58,47,9.12,BR,1697565266
315,mahibadhoo,3.7833,72.9667,28.56,69,56,5.33,MV,1697565283
316,chonchi,-42.6128,-73.8092,14.56,50,38,2.54,CL,1697565230
317,chibougamau,49.9168,-74.3659,10.79,54,0,2.57,CA,1697565284
318,port saint john's,-31.6229,29.5448,17.72,83,25,5.29,ZA,1697565284
319,ataq,14.5377,46.8319,22.68,69,4,5.0,YE,1697565284
320,igrim,63.1906,64.4162,10.01,85,99,4.02,RU,1697565285
321,labytnangi,66.6572,66.4183,1.25,100,100,1.72,RU,1697565285
322,cabo san lucas,22.8909,-109.9124,35.34,62,0,2.68,MX,1697565164
323,saue,59.3203,24.5525,5.86,64,75,0.0,EE,1697565286
324,ola,59.5833,151.2833,-1.99,63,3,5.94,RU,1697565043
325,mchinji,-13.7984,32.8802,19.09,86,99,2.63,MW,1697565286
326,lafiagi,8.8667,5.4167,27.5,75,99,0.5,NG,1697565287
327,victoria,22.2855,114.1577,26.03,73,99,4.92,HK,1697565166
328,zhanibek,49.4167,46.85,8.05,44,15,5.16,KZ,1697565287
329,buurhakaba,2.8026,44.0781,27.08,70,77,6.77,SO,1697565288
330,vidalia,32.2177,-82.4135,19.97,40,0,4.12,US,1697565288
331,harstad,68.799,16.5293,2.11,96,73,4.02,NO,1697565288
332,praia da vitoria,38.7333,-27.0667,23.14,73,20,4.05,PT,1697565289
333,lazaro cardenas,17.9583,-102.2,27.55,79,100,0.8,MX,1697565245
334,xilin hot,43.9667,116.0333,5.44,58,100,2.26,CN,1697565289
335,aasiaat,68.7098,-52.8699,-16.36,81,29,3.33,GL,1697565289
336,sechura,-5.5569,-80.8222,27.19,59,40,5.55,PE,1697565289
337,ujae,8.9322,165.7642,28.56,73,37,5.03,MH,1697565290
338,nyurba,63.2842,118.3319,-6.65,98,100,1.34,RU,1697565290
339,al wajh,26.2455,36.4525,26.97,61,0,6.17,SA,1697565290
340,cabedelo,-6.9811,-34.8339,30.37,61,84,9.44,BR,1697565128
341,zuni pueblo,35.0725,-108.8506,17.35,16,0,4.2,US,1697565290
342,banda aceh,5.5577,95.3222,26.27,77,98,2.46,ID,1697565274
343,selfoss,63.9331,-20.9971,9.47,94,100,11.16,IS,1697565291
344,choix,26.7092,-108.3219,36.51,23,1,1.04,MX,1697565291
345,glace bay,46.1969,-59.957,9.88,93,100,2.57,CA,1697565291
346,sambava,-14.2667,50.1667,23.26,87,49,0.32,MG,1697565291
347,teuva,62.4819,21.7416,2.48,88,55,1.97,FI,1697565291
348,la passe,45.5549,-0.8967,23.34,56,68,7.81,FR,1697565292
349,merizo village,13.2658,144.6691,27.31,93,84,2.66,GU,1697565292
350,unicov,49.7709,17.1214,6.97,65,87,0.82,CZ,1697565292
351,bijawar,24.6333,79.5,22.76,73,0,0.97,IN,1697565292
352,sao joao da barra,-21.6403,-41.0511,33.05,78,50,8.13,BR,1697565293
353,saint-pierre,-21.3393,55.4781,24.82,78,0,1.54,RE,1697565001
354,madang,-5.2246,145.7966,24.17,93,99,1.64,PG,1697565293
355,east end,34.5507,-92.341,21.22,47,1,1.65,US,1697565293
356,grand rapids,42.9634,-85.6681,13.18,74,75,2.57,US,1697565037
357,humberto de campos,-2.5983,-43.4611,32.31,51,67,4.18,BR,1697565293
358,bam,29.106,58.357,26.05,35,18,3.84,IR,1697565294
359,mount pearl,47.5166,-52.7813,7.69,84,75,4.12,CA,1697565294
360,midvagur,62.0511,-7.1939,7.46,100,100,5.66,FO,1697565294
